year,gross_exports_twh,gross_imports_twh,net_trade_twh
2019,59.14020525000001,23.98419925,35.156006
2020,52.1774525,33.675479249999995,18.501973250000002
2021,56.85724825,39.05530475,17.801943500000004
2022,62.231904500000006,35.39192025,26.83998425
2023,42.331542999999996,54.07506275,-11.74351975
2024,38.31708675,66.6654605,-28.348373749999997
2025,43.28138525000001,65.24257475,-21.961189499999996
