partner,exports_twh,imports_twh,net_trade_twh
Denmark,20.29441425,79.65420674999999,-59.35979249999998
Norway,6.5933392500000005,31.026253,-24.43291375
Sweden,2.56395325,18.480823,-15.91686975
Netherlands,29.596528250000002,38.951674,-9.355145749999995
Belgium,12.827723,15.890094000000001,-3.0623710000000006
Switzerland,36.394673749999995,38.161902500000004,-1.7672287500000081
France,60.594569,59.308877499999994,1.2856915000000058
Poland,22.235746000000002,12.244332,9.991414000000002
Czechia,29.470907500000003,14.99320475,14.477702750000002
Luxembourg,26.3940165,0.0,26.3940165
Austria,107.37095475000001,9.378634,97.99232075
