net_export_gw,ranked_hour
18.02783,1
17.365650000000002,2
17.35073,3
16.855330000000002,4
16.53717,5
16.47097,6
16.29681,7
16.28963,8
15.99886,9
15.90485,10
15.75563,11
15.48077,12
15.44107,13
15.31509,14
15.19411,15
15.100530000000001,16
15.09176,17
14.999450000000001,18
14.65535,19
14.651290000000001,20
14.63083,21
14.50714,22
14.50498,23
14.41272,24
14.36446,25
14.32846,26
14.32583,27
14.28287,28
14.27785,29
14.23063,30
14.11506,31
14.09218,32
14.03699,33
13.97329,34
13.9506,35
13.76543,36
13.751430000000001,37
13.71816,38
13.70698,39
13.65478,40
13.6074,41
13.58675,42
13.580440000000001,43
13.57944,44
13.57673,45
13.52161,46
13.48214,47
13.44824,48
13.34248,49
13.33844,50
13.26349,51
13.215530000000001,52
13.19881,53
13.19482,54
13.17693,55
13.17456,56
13.12448,57
13.0289,58
12.968729999999999,59
12.93991,60
12.91034,61
12.86139,62
12.844899999999999,63
12.83096,64
12.82031,65
12.8045,66
12.71629,67
12.7001,68
12.666799999999999,69
12.666709999999998,70
12.65631,71
12.651629999999999,72
12.63085,73
12.609110000000001,74
12.60734,75
12.5896,76
12.579270000000001,77
12.56629,78
12.55352,79
12.54318,80
12.518,81
12.51475,82
12.50979,83
12.49481,84
12.4715,85
12.461319999999999,86
12.411700000000002,87
12.3873,88
12.33883,89
12.334520000000001,90
12.30151,91
12.29766,92
12.29069,93
12.28881,94
12.26733,95
12.24575,96
12.24487,97
12.20932,98
12.20226,99
12.195219999999999,100
12.18943,101
12.185450000000001,102
12.164860000000001,103
12.13992,104
12.132819999999999,105
12.13031,106
12.1198,107
12.109969999999999,108
12.03791,109
11.99396,110
11.99019,111
11.98176,112
11.96839,113
11.94474,114
11.92224,115
11.90841,116
11.89871,117
11.86209,118
11.840950000000001,119
11.83292,120
11.81211,121
11.80625,122
11.75799,123
11.74587,124
11.745280000000001,125
11.71667,126
11.71463,127
11.700809999999999,128
11.63171,129
11.62238,130
11.617059999999999,131
11.60625,132
11.60445,133
11.569540000000002,134
11.563,135
11.558860000000001,136
11.55793,137
11.55514,138
11.539879999999998,139
11.53598,140
11.52713,141
11.50224,142
11.45313,143
11.426129999999999,144
11.380270000000001,145
11.36053,146
11.35999,147
11.34035,148
11.28078,149
11.2116,150
11.19875,151
11.18517,152
11.17117,153
11.16393,154
11.15341,155
11.14994,156
11.12999,157
11.12669,158
11.1226,159
11.106200000000001,160
11.09272,161
11.06841,162
11.051260000000001,163
11.01541,164
10.97517,165
10.97202,166
10.96421,167
10.96364,168
10.955879999999999,169
10.94687,170
10.938360000000001,171
10.92165,172
10.89251,173
10.890649999999999,174
10.87533,175
10.87199,176
10.834290000000001,177
10.82717,178
10.816559999999999,179
10.79444,180
10.777280000000001,181
10.76992,182
10.76676,183
10.759129999999999,184
10.75892,185
10.75319,186
10.73165,187
10.729379999999999,188
10.70765,189
10.70237,190
10.68434,191
10.67175,192
10.67162,193
10.66083,194
10.66071,195
10.65643,196
10.633709999999999,197
10.5957,198
10.57631,199
10.5717,200
10.570549999999999,201
10.556809999999999,202
10.55138,203
10.51074,204
10.50864,205
10.50693,206
10.48407,207
10.4801,208
10.47795,209
10.46333,210
10.45912,211
10.42292,212
10.41186,213
10.40166,214
10.37627,215
10.372530000000001,216
10.35625,217
10.35539,218
10.34782,219
10.326979999999999,220
10.32408,221
10.27014,222
10.208860000000001,223
10.19767,224
10.195620000000002,225
10.15592,226
10.15416,227
10.149479999999999,228
10.0964,229
10.073879999999999,230
10.07024,231
10.0492,232
10.031690000000001,233
10.02725,234
10.01975,235
9.9831,236
9.97479,237
9.96602,238
9.96587,239
9.95983,240
9.947989999999999,241
9.93976,242
9.93943,243
9.93468,244
9.919690000000001,245
9.901729999999999,246
9.89364,247
9.88165,248
9.86853,249
9.86495,250
9.86005,251
9.849680000000001,252
9.84469,253
9.84454,254
9.81817,255
9.804829999999999,256
9.804530000000002,257
9.78571,258
9.77422,259
9.75006,260
9.734459999999999,261
9.73274,262
9.71878,263
9.70332,264
9.702440000000001,265
9.69073,266
9.68933,267
9.68423,268
9.68413,269
9.67392,270
9.66817,271
9.66275,272
9.62646,273
9.60916,274
9.60884,275
9.60184,276
9.57562,277
9.5534,278
9.549059999999999,279
9.54335,280
9.50309,281
9.48717,282
9.480979999999999,283
9.470450000000001,284
9.46993,285
9.46907,286
9.468219999999999,287
9.457360000000001,288
9.40808,289
9.394620000000002,290
9.34797,291
9.338149999999999,292
9.33071,293
9.312389999999999,294
9.307739999999999,295
9.299959999999999,296
9.29755,297
9.294889999999999,298
9.2895,299
9.273,300
9.254959999999999,301
9.23628,302
9.23498,303
9.2189,304
9.208200000000001,305
9.19895,306
9.196209999999999,307
9.19219,308
9.18615,309
9.18266,310
9.18056,311
9.18019,312
9.17651,313
9.170459999999999,314
9.15845,315
9.153469999999999,316
9.150709999999998,317
9.14622,318
9.135290000000001,319
9.12659,320
9.122,321
9.115459999999999,322
9.10158,323
9.0816,324
9.0692,325
9.04875,326
9.04832,327
9.04627,328
9.04451,329
9.04323,330
9.041889999999999,331
9.01561,332
9.013729999999999,333
9.01015,334
8.990350000000001,335
8.98386,336
8.97316,337
8.972940000000001,338
8.969430000000001,339
8.957840000000001,340
8.92948,341
8.92614,342
8.91517,343
8.90667,344
8.900079999999999,345
8.89931,346
8.89639,347
8.885209999999999,348
8.88077,349
8.87493,350
8.860040000000001,351
8.84565,352
8.84552,353
8.84004,354
8.83552,355
8.806899999999999,356
8.803450000000002,357
8.79892,358
8.795020000000001,359
8.78069,360
8.77917,361
8.76348,362
8.757190000000001,363
8.75475,364
8.748149999999999,365
8.732059999999999,366
8.72308,367
8.7211,368
8.71126,369
8.70003,370
8.68516,371
8.67858,372
8.65812,373
8.641440000000001,374
8.63501,375
8.6265,376
8.62591,377
8.61593,378
8.61195,379
8.60943,380
8.60129,381
8.58854,382
8.57761,383
8.57757,384
8.57379,385
8.57064,386
8.5701,387
8.56973,388
8.56339,389
8.55669,390
8.551290000000002,391
8.54655,392
8.52985,393
8.52186,394
8.51863,395
8.51798,396
8.51521,397
8.514280000000001,398
8.50924,399
8.48593,400
8.483270000000001,401
8.48194,402
8.47316,403
8.461079999999999,404
8.456040000000002,405
8.443629999999999,406
8.438120000000001,407
8.43509,408
8.43376,409
8.433399999999999,410
8.43275,411
8.42192,412
8.42125,413
8.41297,414
8.40827,415
8.40077,416
8.38836,417
8.386299999999999,418
8.375950000000001,419
8.3701,420
8.34886,421
8.34474,422
8.34066,423
8.34054,424
8.32685,425
8.32317,426
8.320229999999999,427
8.31796,428
8.316780000000001,429
8.31677,430
8.30806,431
8.29596,432
8.288260000000001,433
8.28723,434
8.28642,435
8.26488,436
8.26418,437
8.258809999999999,438
8.24208,439
8.22817,440
8.20585,441
8.1944,442
8.18464,443
8.181329999999999,444
8.18056,445
8.17341,446
8.17137,447
8.15093,448
8.14473,449
8.14255,450
8.142479999999999,451
8.13364,452
8.12599,453
8.12192,454
8.11263,455
8.1121,456
8.11047,457
8.1009,458
8.09567,459
8.09042,460
8.08309,461
8.075520000000001,462
8.07034,463
8.06557,464
8.05846,465
8.058069999999999,466
8.05782,467
8.04457,468
8.0365,469
8.03548,470
8.035350000000001,471
8.026390000000001,472
8.02038,473
8.01388,474
8.013770000000001,475
7.98751,476
7.96976,477
7.96916,478
7.96899,479
7.966399999999999,480
7.9609499999999995,481
7.95494,482
7.94864,483
7.94772,484
7.9473400000000005,485
7.94682,486
7.94681,487
7.9371599999999995,488
7.92882,489
7.92668,490
7.921189999999999,491
