Solar_Radiation_Wm2,Solar_Gen_Fit_MWh
0.0,336.15113066049344
8.616161616161616,829.2630042876783
17.232323232323232,1322.3748779148632
25.848484848484848,1815.4867515420478
34.464646464646464,2308.598625169233
43.08080808080808,2801.7104987964176
51.696969696969695,3294.8223724236022
60.31313131313131,3787.934246050787
68.92929292929293,4281.0461196779725
77.54545454545455,4774.157993305157
86.16161616161617,5267.269866932342
94.77777777777777,5760.381740559526
103.39393939393939,6253.493614186711
112.01010101010101,6746.605487813896
120.62626262626262,7239.71736144108
129.24242424242425,7732.829235068266
137.85858585858585,8225.94110869545
146.47474747474746,8719.052982322635
155.0909090909091,9212.16485594982
163.7070707070707,9705.276729577005
172.32323232323233,10198.38860320419
180.93939393939394,10691.500476831374
189.55555555555554,11184.61235045856
198.17171717171718,11677.724224085745
206.78787878787878,12170.836097712929
215.4040404040404,12663.947971340112
224.02020202020202,13157.059844967298
232.63636363636363,13650.171718594484
241.25252525252523,14143.283592221667
249.86868686868686,14636.395465848853
258.4848484848485,15129.507339476038
267.1010101010101,15622.619213103222
275.7171717171717,16115.731086730408
284.3333333333333,16608.842960357593
292.9494949494949,17101.954833984775
301.5656565656566,17595.066707611964
310.1818181818182,18088.178581239146
318.7979797979798,18581.29045486633
327.4141414141414,19074.402328493517
336.030303030303,19567.5142021207
344.64646464646466,20060.62607574789
353.26262626262627,20553.73794937507
361.8787878787879,21046.849823002252
370.4949494949495,21539.96169662944
379.1111111111111,22033.073570256623
387.7272727272727,22526.185443883805
396.34343434343435,23019.297317510995
404.95959595959596,23512.409191138177
413.57575757575756,24005.521064765366
422.19191919191917,24498.632938392548
430.8080808080808,24991.74481201973
439.42424242424244,25484.85668564692
448.04040404040404,25977.9685592741
456.65656565656565,26471.08043290129
465.27272727272725,26964.19230652847
473.88888888888886,27457.304180155654
482.50505050505046,27950.416053782843
491.1212121212121,28443.527927410025
499.73737373737373,28936.639801037214
508.35353535353534,29429.751674664396
516.969696969697,29922.863548291585
525.5858585858585,30415.975421918767
534.2020202020202,30909.08729554595
542.8181818181818,31402.19916917313
551.4343434343434,31895.31104280032
560.0505050505051,32388.42291642751
568.6666666666666,32881.53479005469
577.2828282828283,33374.64666368188
585.8989898989898,33867.75853730906
594.5151515151515,34360.870410936244
603.1313131313132,34853.98228456343
611.7474747474747,35347.094158190615
620.3636363636364,35840.206031817805
628.9797979797979,36333.31790544499
637.5959595959596,36826.42977907217
646.2121212121212,37319.54165269936
654.8282828282828,37812.65352632654
663.4444444444445,38305.76539995373
672.060606060606,38798.87727358091
680.6767676767677,39291.98914720809
689.2929292929293,39785.10102083528
697.9090909090909,40278.212894462464
706.5252525252525,40771.32476808965
715.1414141414141,41264.436641716835
723.7575757575758,41757.54851534402
732.3737373737373,42250.6603889712
740.989898989899,42743.77226259839
749.6060606060606,43236.88413622558
758.2222222222222,43729.99600985276
766.8383838383838,44223.10788347994
775.4545454545454,44716.21975710712
784.070707070707,45209.33163073431
792.6868686868687,45702.4435043615
801.3030303030303,46195.55537798868
809.9191919191919,46688.667251615865
818.5353535353535,47181.77912524305
827.1515151515151,47674.890998870236
835.7676767676768,48168.002872497425
844.3838383838383,48661.11474612461
853.0,49154.22661975179
