month_label,exports_gwh,imports_gwh
Jan,1581.1699199999998,2097.49847
Feb,875.41458,2380.9751499999998
Mar,836.59434,2829.2595499999998
Apr,780.19859,3341.4445
May,1080.28573,2939.63304
Jun,1629.35111,2781.7840699999997
Jul,534.97188,3596.13111
Aug,803.2892099999999,4182.4762599999995
Sep,1005.4101400000001,2886.28667
Oct,1931.1417099999999,2041.8116699999998
Nov,257.45781,2732.6676
Dec,852.1950400000001,2280.50215
