Wind_Speed_ms,Wind_Gen_MWh,Solar_Radiation_Wm2,Solar_Gen_MWh,Cloud_Cover_pct
4.805555555555555,4712.75,535.0,28317.13,58.75
4.8125,7853.06,596.25,28689.98,74.5
4.159722222222222,8973.24,370.25,17837.58,100.0
3.8541666666666665,5321.38,143.0,1915.24,38.25
4.805555555555555,4148.24,0.0,11.04,11.25
4.701388888888889,4954.43,0.0,5.72,32.0
5.138888888888888,7492.09,0.0,247.04,57.75
4.6875,7291.01,169.0,14085.31,71.5
4.923611111111112,9301.52,518.5,28249.68,62.5
5.576388888888888,13384.95,437.5,26799.2,78.75
6.076388888888888,12425.55,419.0,18843.23,67.5
5.020833333333333,6395.8,130.5,1783.29,69.0
4.597222222222222,6160.73,0.0,5.5,59.0
4.923611111111112,7687.39,0.0,5.38,28.0
5.381944444444445,9851.3,0.0,274.28,57.75
4.5,7268.31,113.0,12342.29,76.0
3.881944444444444,7984.76,487.75,25940.05,78.75
4.708333333333333,10260.55,491.0,28646.0,59.5
5.215277777777779,10907.64,505.25,17316.94,39.5
4.451388888888888,8158.15,130.75,1665.44,64.0
5.722222222222222,8604.08,0.0,20.1,59.5
5.361111111111112,9173.33,0.0,5.91,66.5
5.430555555555555,10794.94,0.0,163.18,54.5
4.763888888888888,9867.05,161.25,12714.32,65.5
5.715277777777778,13017.04,385.5,26358.87,68.0
6.402777777777778,13842.86,414.5,28105.12,82.25
6.222222222222221,13758.71,339.5,16919.63,76.75
5.465277777777778,9467.25,132.0,1480.73,26.5
4.138888888888889,6190.88,0.0,9.61,40.5
3.8055555555555554,3315.34,0.0,5.67,54.0
4.034722222222222,1814.6,0.0,104.68,87.25
2.7222222222222223,546.09,171.75,14565.08,56.25
1.777777777777778,480.07,546.25,32735.99,54.5
2.4722222222222223,721.3,553.0,37014.54,85.75
1.8333333333333335,1294.46,486.75,23978.63,80.5
2.5555555555555554,931.49,147.5,2093.47,43.0
2.763888888888889,1303.59,0.0,19.74,2.0
2.527777777777778,2069.36,0.0,8.73,4.75
2.659722222222222,3234.72,0.0,213.51,0.75
2.6041666666666665,2174.83,216.5,21134.07,3.25
2.305555555555556,2434.68,646.75,45071.93,19.0
2.861111111111111,4344.3,777.0,43008.21,39.75
3.8402777777777777,7048.47,565.75,21113.98,53.25
5.041666666666666,7430.93,120.75,1581.64,72.0
5.847222222222222,12502.76,0.0,9.1,76.0
5.215277777777779,9641.68,0.0,5.65,44.0
