date,soc_100,soc_200,soc_500
2025-01-01 00:00:00+01:00,79.72528522118655,60.34280483445314,25.97274401508891
2025-01-02 00:00:00+01:00,87.45476252466997,78.96746237426493,49.15542184993913
2025-01-03 00:00:00+01:00,91.63650834977999,85.97830824950995,63.54279500632466
2025-01-04 00:00:00+01:00,89.49506859521608,87.367574853573,71.8106337213197
2025-01-05 00:00:00+01:00,81.04728773980938,84.61967631467665,75.33875354978306
2025-01-06 00:00:00+01:00,83.77165709616617,86.96585558539306,79.36207808741756
2025-01-07 00:00:00+01:00,86.08999179671386,88.8278762160512,82.31035264635791
2025-01-08 00:00:00+01:00,88.46107632063767,94.23053816031884,92.78061426959243
2025-01-09 00:00:00+01:00,79.59632357044256,89.79816178522127,94.82177061681647
2025-01-10 00:00:00+01:00,73.31456891889363,86.6572844594468,94.6629137837787
2025-01-11 00:00:00+01:00,73.03541505825623,86.51770752912807,94.60708301165121
2025-01-12 00:00:00+01:00,78.64561136088113,89.32280568044054,95.72912227217621
2025-01-13 00:00:00+01:00,64.88745018223071,77.22440177404077,90.72022807377378
2025-01-14 00:00:00+01:00,53.65064234432158,64.46314071222908,85.03232897850994
2025-01-15 00:00:00+01:00,42.207098149904716,51.5985114721635,78.03989870923044
2025-01-16 00:00:00+01:00,37.47410235322078,42.089156430964394,66.64563893920476
2025-01-17 00:00:00+01:00,29.470142719055435,30.944319471024585,53.61627558380026
2025-01-18 00:00:00+01:00,17.88204667518935,18.00741430623441,39.87008494645562
2025-01-19 00:00:00+01:00,5.628463649412482,4.73776565048883,25.990796912728815
2025-01-20 00:00:00+01:00,5.473267131212891,2.7366335656064456,16.78844814318981
2025-01-21 00:00:00+01:00,2.424360683407724,1.212180341703862,8.190632952739366
2025-01-22 00:00:00+01:00,0.29974850874491094,0.14987425437245547,1.040860519631501
2025-01-23 00:00:00+01:00,7.370593191661432,3.685296595830716,1.4741186383322866
2025-01-24 00:00:00+01:00,18.15862512648073,9.079312563240364,3.631725025296146
2025-01-25 00:00:00+01:00,31.81881707981783,18.056042435014266,7.222416974005706
2025-01-26 00:00:00+01:00,39.547979398002504,25.416290182475077,10.16651607299003
2025-01-27 00:00:00+01:00,46.36282502387065,32.319379583777625,12.92775183351105
2025-01-28 00:00:00+01:00,48.445604060306685,35.842187699961194,14.336875079984479
2025-01-29 00:00:00+01:00,51.22271704948627,37.59828269661259,15.039313078645037
2025-01-30 00:00:00+01:00,46.657963846740394,35.43764191739483,14.175056766957933
2025-01-31 00:00:00+01:00,35.8704697186811,30.043894853365185,12.017557941346075
2025-02-01 00:00:00+01:00,22.210277765344,21.067164981591283,8.426865992636515
2025-02-02 00:00:00+01:00,14.398062401149634,13.665390711125626,5.466156284450251
2025-02-03 00:00:00+01:00,7.583216775281484,6.762301309823079,2.704920523929232
2025-02-04 00:00:00+01:00,5.500437738845447,3.239493193639506,1.2957972774558024
2025-02-05 00:00:00+01:00,2.564409711863383,1.403940678086869,0.5615762712347477
2025-02-06 00:00:00+01:00,0.1654846798735676,0.0827423399367838,0.033096935974713526
2025-02-07 00:00:00+01:00,11.125550698673093,6.636672780358828,2.654669112143531
2025-02-08 00:00:00+01:00,25.411264984387376,20.418729738691347,9.108919967169069
2025-02-09 00:00:00+01:00,39.67132974526676,34.69161926198818,17.55591345462845
2025-02-10 00:00:00+01:00,53.90569724046986,48.95166015244688,27.851846137088806
2025-02-11 00:00:00+01:00,68.14031774050379,63.21182754532098,41.13813774856082
2025-02-12 00:00:00+01:00,80.37385929729685,76.47145546657465,54.7760900536634
2025-02-13 00:00:00+01:00,81.24376597021588,80.5471101076015,64.6053002521216
2025-02-14 00:00:00+01:00,70.28316214465634,73.99291076379946,65.89903729066063
2025-02-15 00:00:00+01:00,55.99744785894206,60.21085380546693,59.444786435635095
2025-02-16 00:00:00+01:00,41.89563063245331,46.017088049365405,51.02944245505385
2025-02-17 00:00:00+01:00,27.85948466338792,31.85615792197557,40.773154077821026
2025-02-18 00:00:00+01:00,15.09641459363185,18.331765744240396,27.781172552404588
2025-02-19 00:00:00+01:00,12.519841820060327,10.603543561339828,16.355782542643244
2025-02-20 00:00:00+01:00,25.509206570436127,18.316755294068976,11.24211889368745
2025-02-21 00:00:00+01:00,34.443579679214274,28.134902574725476,11.25396102989019
2025-02-22 00:00:00+01:00,43.710878818503375,38.11951287063745,15.247805148254981
2025-02-23 00:00:00+01:00,54.79138888458358,49.11464609903779,19.645858439615118
2025-02-24 00:00:00+01:00,58.77286405145353,56.56978381430972,22.62791352572389
2025-02-25 00:00:00+01:00,58.94380826507112,60.1355473182543,24.054218927301722
2025-02-26 00:00:00+01:00,49.25349990463842,54.58747179129561,21.834988716518247
2025-02-27 00:00:00+01:00,35.296286145426556,42.749634249581106,17.099853699832444
2025-02-28 00:00:00+01:00,26.36191303664841,32.93148696892461,13.172594787569844
2025-03-01 00:00:00+01:00,17.094613897359316,22.946876673012635,9.178750669205053
2025-03-02 00:00:00+01:00,10.588938709189247,14.239160883567367,5.695664353426947
2025-03-03 00:00:00+01:00,17.592060773463377,12.629604774164964,5.051841909665986
2025-03-04 00:00:00+01:00,22.577822589229008,12.475491571135525,4.99019662845421
2025-03-05 00:00:00+01:00,31.388404041721067,17.714079583605088,7.0856318334420365
2025-03-06 00:00:00+01:00,38.83632474698413,22.27133722246015,8.908534888984061
2025-03-07 00:00:00+01:00,38.84936496668808,22.37412610438989,8.949650441755956
2025-03-08 00:00:00+01:00,39.49495801815142,22.696922630121566,9.078769052048626
2025-03-09 00:00:00+01:00,36.00893002852134,20.953908635306522,8.38156345412261
2025-03-10 00:00:00+01:00,24.826111271239558,15.009216266368144,6.003686506547258
2025-03-11 00:00:00+01:00,18.197854811578484,10.861790750314071,4.34471630012563
2025-03-12 00:00:00+01:00,9.387273359086418,5.623202737844509,2.2492810951378037
2025-03-13 00:00:00+01:00,1.9301285415595468,1.0613330428575414,0.4245332171430166
2025-03-14 00:00:00+01:00,1.917088321855602,0.9585441609278023,0.3834176643711209
2025-03-15 00:00:00+01:00,1.2714952703922542,0.6357476351961281,0.25429905407845127
2025-03-16 00:00:00+01:00,1.3840076694897665,0.6920038347448842,0.27680153389795364
2025-03-17 00:00:00+01:00,7.830065524037598,3.9150327620187997,1.5660131048075194
2025-03-18 00:00:00+01:00,8.579413856795211,4.2897069283976075,1.7158827713590428
2025-03-19 00:00:00+01:00,8.653240914996518,4.32662045749826,1.730648182999304
2025-03-20 00:00:00+01:00,8.764649996746796,4.382324998373399,1.7529299993493592
2025-03-21 00:00:00+01:00,10.094274911371286,5.047137455685645,2.018854982274258
2025-03-22 00:00:00+01:00,22.676381350095646,14.11086322496383,5.644345289985533
2025-03-23 00:00:00+01:00,34.27461142942399,27.052835407485144,11.445429432109592
2025-03-24 00:00:00+01:00,29.271949918179327,29.24558092023852,13.007069577855743
2025-03-25 00:00:00+01:00,28.523832284850283,28.871522103573994,12.87203043307189
2025-03-26 00:00:00+01:00,28.505228457913027,28.86222019010537,12.86830966768444
2025-03-27 00:00:00+01:00,28.39381937616275,28.806515649230228,12.846027851334384
2025-03-28 00:00:00+01:00,27.787274333292242,28.503243127794974,12.724718842760282
2025-03-29 00:00:00+01:00,15.205686713456574,19.43977676796113,9.099332298826747
2025-03-30 00:00:00+01:00,10.352772059345824,10.350190432413061,4.839202495491985
2025-03-31 00:00:00+02:00,20.50874523551323,14.903490481063487,5.975980574307354
2025-04-01 00:00:00+02:00,21.147562169492726,18.129910944954414,7.251964377981765
2025-04-02 00:00:00+02:00,23.875524107910728,21.094775119651242,8.437910047860496
2025-04-03 00:00:00+02:00,32.94776265123898,27.162627338145438,10.865050935258173
2025-04-04 00:00:00+02:00,34.406990363001114,28.80125947289542,11.520503789158168
2025-04-05 00:00:00+02:00,37.13259507760371,30.16406183019672,12.065624732078687
2025-04-06 00:00:00+02:00,32.17214890539509,27.204110609727966,10.881644243891186
2025-04-07 00:00:00+02:00,21.598200785898957,17.747746821037463,7.099098728414985
2025-04-08 00:00:00+02:00,21.125173057607586,14.604220959990602,5.841688383996241
2025-04-09 00:00:00+02:00,18.364929923730816,11.623216187564392,4.649286475025755
2025-04-10 00:00:00+02:00,9.535398628924701,5.676717593331268,2.270687037332506
2025-04-11 00:00:00+02:00,12.9452447640932,6.472622382046601,2.589048952818639
2025-04-12 00:00:00+02:00,12.64214847282987,6.321074236414936,2.528429694565973
2025-04-13 00:00:00+02:00,18.433800660068982,9.216900330034491,3.686760132013796
2025-04-14 00:00:00+02:00,18.86994890723982,9.43497445361991,3.773989781447963
2025-04-15 00:00:00+02:00,23.701227267177224,11.850613633588614,4.740245453435445
2025-04-16 00:00:00+02:00,24.510415024181718,12.255207512090859,4.902083004836343
2025-04-17 00:00:00+02:00,24.267707775659574,12.133853887829787,4.853541555131914
2025-04-18 00:00:00+02:00,18.675554056974956,9.337777028487478,3.73511081139499
