Date,Lignite,Hard_Coal,Fossil_Gas,Other_Conventional
2025-07-01,8375.53125,3615.1041666666665,6681.239583333333,1402.2604166666667
2025-07-02,7958.802083333333,3181.9166666666665,6321.666666666667,1465.9375
2025-07-03,7051.572916666667,3256.5520833333335,4409.510416666667,1413.5625
2025-07-04,8072.5,2659.1875,4708.34375,1383.5
2025-07-05,5390.322916666667,1354.46875,2475.6145833333335,1336.2916666666667
2025-07-06,6068.71875,1392.5416666666667,2540.6354166666665,1322.78125
2025-07-07,8850.072916666666,3094.8229166666665,4037.3125,1298.1458333333333
2025-07-08,7968.604166666667,2686.0416666666665,3462.3125,1277.125
2025-07-09,8929.947916666666,2642.0,4198.645833333333,1248.5416666666667
2025-07-10,8954.28125,2910.3541666666665,4617.104166666667,1367.4270833333333
2025-07-11,7680.635416666667,2750.875,3997.5625,1382.0520833333333
2025-07-12,5074.604166666667,1616.8854166666667,2981.2708333333335,1358.4166666666667
2025-07-13,5992.208333333333,1657.375,3035.7708333333335,1496.6770833333333
2025-07-14,9366.71875,3529.0833333333335,4113.114583333333,1509.2604166666667
2025-07-15,9115.479166666666,3098.5520833333335,3570.5625,1476.1041666666667
2025-07-16,9470.270833333334,4145.135416666667,3909.1458333333335,1541.59375
2025-07-17,9464.447916666666,3826.0833333333335,4418.083333333333,1467.4375
2025-07-18,9838.895833333334,4689.489583333333,5244.864583333333,1433.1041666666667
2025-07-19,6657.552083333333,2101.5729166666665,3049.0833333333335,1471.5208333333333
2025-07-20,6289.635416666667,1760.65625,2641.03125,1524.0104166666667
2025-07-21,9471.114583333334,4020.6145833333335,4303.135416666667,1491.1979166666667
2025-07-22,8114.5,2411.2291666666665,2807.03125,1534.34375
2025-07-23,7715.333333333333,2331.0416666666665,3330.03125,1432.8333333333333
2025-07-24,10037.489583333334,4273.354166666667,6316.354166666667,1458.7395833333333
2025-07-25,9048.96875,3447.0520833333335,5366.166666666667,1489.3125
2025-07-26,7691.1875,3079.7604166666665,3939.1458333333335,1495.7604166666667
2025-07-27,6363.958333333333,681.71875,2763.5520833333335,1607.9166666666667
2025-07-28,6412.46875,683.3854166666666,3139.5,1639.59375
2025-07-29,5677.177083333333,987.53125,2773.2604166666665,1558.0520833333333
2025-07-30,6238.333333333333,723.84375,3617.7916666666665,1480.71875
2025-07-31,6411.21875,953.2395833333334,3194.2395833333335,1523.03125
2025-08-01,6349.15625,1028.03125,3503.7083333333335,1514.28125
2025-08-02,5037.947916666667,371.7291666666667,2491.46875,1519.7291666666667
2025-08-03,3440.0625,213.625,2294.3645833333335,1508.28125
2025-08-04,3651.1145833333335,289.8333333333333,3521.96875,1542.4166666666667
2025-08-05,2963.1770833333335,338.375,2896.8541666666665,1537.5
2025-08-06,3515.28125,998.4479166666666,2933.8020833333335,1391.9895833333333
2025-08-07,5024.25,1295.9791666666667,3393.2395833333335,1439.0104166666667
2025-08-08,5742.510416666667,1628.3229166666667,3474.1458333333335,1491.875
2025-08-09,5278.239583333333,800.875,3275.84375,1429.8645833333333
2025-08-10,4602.885416666667,324.1354166666667,2652.4166666666665,1351.6770833333333
2025-08-11,6297.489583333333,1536.4895833333333,4952.40625,1508.5729166666667
2025-08-12,6876.65625,3207.5104166666665,5764.052083333333,1415.4166666666667
2025-08-13,6738.208333333333,3773.1145833333335,6000.09375,1459.3958333333333
2025-08-14,6961.927083333333,4177.229166666667,6555.46875,1377.9375
2025-08-15,6255.364583333333,2620.0416666666665,3932.0520833333335,1398.46875
2025-08-16,5377.114583333333,625.65625,2040.6770833333333,1446.7083333333333
2025-08-17,5703.4375,1000.40625,2812.0104166666665,1427.0625
2025-08-18,7565.958333333333,3028.125,5189.3125,1443.875
2025-08-19,7521.104166666667,2808.5625,5135.21875,1399.1979166666667
2025-08-20,8126.34375,3135.0729166666665,4755.052083333333,1412.2604166666667
2025-08-21,7479.885416666667,2802.9583333333335,4670.197916666667,1472.9791666666667
2025-08-22,6726.9375,1178.03125,2555.9895833333335,1447.0104166666667
2025-08-23,5495.864583333333,324.3958333333333,2338.84375,1422.7083333333333
2025-08-24,5548.71875,432.7916666666667,2686.8020833333335,1401.9166666666667
2025-08-25,7020.010416666667,1839.3020833333333,4523.6875,1466.8229166666667
2025-08-26,8074.270833333333,3428.8541666666665,5685.052083333333,1518.3541666666667
2025-08-27,7724.59375,3404.9375,6035.395833333333,1432.7916666666667
2025-08-28,8476.739583333334,3728.5,8167.552083333333,1428.8541666666667
2025-08-29,7581.260416666667,2468.6979166666665,5486.833333333333,1445.53125
2025-08-30,5984.84375,681.8854166666666,3135.2916666666665,1391.5208333333333
2025-08-31,5139.802083333333,734.9583333333334,2805.8125,1386.8020833333333
2025-09-01,7836.270833333333,2460.4270833333335,5638.291666666667,1456.3854166666667
2025-09-02,7599.1875,3000.4270833333335,6916.260416666667,1395.0208333333333
2025-09-03,5776.229166666667,2160.8125,4052.1458333333335,1317.84375
2025-09-04,5923.760416666667,2394.4791666666665,5154.989583333333,1361.5729166666667
2025-09-05,9032.927083333334,3063.2083333333335,6275.302083333333,1258.78125
2025-09-06,7355.46875,2011.4270833333333,3840.75,1482.1145833333333
2025-09-07,5099.364583333333,322.46875,2517.1458333333335,1217.34375
2025-09-08,9167.552083333334,2705.5208333333335,6636.9375,1214.8125
2025-09-09,10155.09375,4128.229166666667,9367.114583333334,1349.875
2025-09-10,10410.947916666666,3861.2395833333335,8600.489583333334,1313.3229166666667
2025-09-11,6795.03125,824.0625,4319.489583333333,1354.6354166666667
2025-09-12,4366.84375,789.9375,4428.583333333333,1384.2083333333333
2025-09-13,3926.4375,742.4166666666666,2916.15625,1419.46875
2025-09-14,4660.40625,535.1979166666666,3326.78125,1375.9791666666667
2025-09-15,2412.0729166666665,1152.53125,2230.5104166666665,1385.3333333333333
2025-09-16,2844.8020833333335,1207.65625,2375.25,1305.0625
2025-09-17,4950.666666666667,1889.09375,4001.1041666666665,1333.5104166666667
2025-09-18,4539.96875,1126.1354166666667,4176.90625,1376.5625
2025-09-19,6499.322916666667,1735.71875,5156.364583333333,1329.3229166666667
2025-09-20,4920.885416666667,379.9583333333333,2240.8645833333335,1340.9583333333333
2025-09-21,4399.791666666667,961.3645833333334,2614.2708333333335,1376.4583333333333
2025-09-22,8266.90625,2190.0625,4807.197916666667,1431.0
2025-09-23,9422.947916666666,3244.1979166666665,8013.28125,1460.8333333333333
2025-09-24,7830.854166666667,1640.8333333333333,4376.572916666667,1352.1979166666667
2025-09-25,7392.614583333333,1544.1041666666667,4589.09375,1375.4270833333333
2025-09-26,8565.052083333334,1790.9270833333333,6393.958333333333,1436.1354166666667
2025-09-27,7690.427083333333,1274.78125,5555.677083333333,1572.0833333333333
2025-09-28,7753.208333333333,1481.1875,6282.010416666667,1658.6041666666667
2025-09-29,9762.645833333334,3404.1770833333335,10513.072916666666,1741.21875
2025-09-30,9879.34375,4209.458333333333,10632.333333333334,1879.71875
