capex_eur_kwh,payback_75pct,payback_80pct,payback_85pct,payback_90pct
100,3.158337236511768,3.0411917061760225,2.944111540956205,2.8628777010455857
140,4.421672131116475,4.257668388646432,4.121756157338687,4.00802878146382
200,6.316674473023536,6.082383412352045,5.88822308191241,5.725755402091171
300,9.475011709535304,9.123575118528068,8.832334622868615,8.588633103136758
