capacity_gwh,imports_remaining_twh
0,34.09047024
10,32.38552616113734
25,30.667287451606477
50,29.02665627239032
100,27.61746685261437
200,26.463010680687287
400,25.367286175333145
800,24.44960514683313
1600,24.014706802500008
3200,24.014706802500008
