STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1420;2022072222:32;    1;  135.0;    0.0;    0.0;   0;   107.07;2022072223:00;eor
       1420;2022072223:32;    1;  134.0;    0.0;    0.0;   0;   109.54;2022072300:00;eor
       1420;2022072300:32;    1;  137.0;    0.0;    0.0;   0;   109.54;2022072301:00;eor
       1420;2022072301:32;    1;  139.0;    0.0;    0.0;   0;   107.09;2022072302:00;eor
       1420;2022072302:32;    1;  139.0;    0.0;    0.0;   0;   102.43;2022072303:00;eor
       1420;2022072303:32;    1;  138.0;    0.0;    0.0;   0;    95.97;2022072304:00;eor
       1420;2022072304:32;    1;  137.0;    4.0;    4.0;   0;    88.15;2022072305:00;eor
       1420;2022072305:32;    1;  139.0;   19.0;   21.0;   8;    79.38;2022072306:00;eor
       1420;2022072306:32;    1;  129.0;   38.0;   66.0;  20;    70.02;2022072307:00;eor
       1420;2022072307:32;    1;  128.0;   61.0;  147.0;  59;    60.41;2022072308:00;eor
       1420;2022072308:32;    1;  129.0;   68.0;  206.0;  60;    50.94;2022072309:00;eor
       1420;2022072309:32;    1;  132.0;   85.0;  225.0;  59;    42.15;2022072310:00;eor
       1420;2022072310:32;    1;  137.0;   98.0;  233.0;  43;    34.90;2022072311:00;eor
       1420;2022072311:32;    1;  140.0;  105.0;  247.0;  46;    30.59;2022072312:00;eor
       1420;2022072312:32;    1;  138.0;   87.0;  276.0;  48;    30.60;2022072313:00;eor
       1420;2022072313:32;    1;  144.0;   98.0;  190.0;  36;    34.93;2022072314:00;eor
       1420;2022072314:32;    1;  147.0;  118.0;  195.0;  27;    42.18;2022072315:00;eor
       1420;2022072315:32;    1;  140.0;   77.0;  176.0;  40;    50.99;2022072316:00;eor
       1420;2022072316:32;    1;  137.0;   64.0;  130.0;  55;    60.47;2022072317:00;eor
       1420;2022072317:32;    1;  136.0;   48.0;   77.0;  52;    70.09;2022072318:00;eor
       1420;2022072318:32;    1;  135.0;   34.0;   42.0;  40;    79.47;2022072319:00;eor
