month_label,profit_eur,month_index
Jan,8630.45411764706,1
Feb,5945.116470588235,2
Mar,12938.384705882352,3
Apr,14902.79411764706,4
May,16933.765294117646,5
Jun,16739.482352941177,6
Jul,10486.281176470588,7
Aug,13566.674117647059,8
Sep,14528.02294117647,9
Oct,9292.091176470589,10
Nov,6938.407058823529,11
Dec,4962.944117647059,12
