timestamp,imports_gw
2025-04-19 05:00:00+02:00,9.18811
2025-04-19 06:00:00+02:00,9.226379999999999
2025-04-19 07:00:00+02:00,9.48962
2025-04-19 08:00:00+02:00,11.2653
2025-04-19 09:00:00+02:00,9.586379999999998
2025-04-19 10:00:00+02:00,7.22522
2025-04-19 11:00:00+02:00,2.77495
2025-04-19 12:00:00+02:00,0.0
2025-04-19 13:00:00+02:00,0.0
2025-04-19 14:00:00+02:00,0.9486100000000001
2025-04-19 15:00:00+02:00,1.31813
2025-04-19 16:00:00+02:00,6.63899
2025-04-19 17:00:00+02:00,9.9454
2025-04-19 18:00:00+02:00,10.77826
2025-04-19 19:00:00+02:00,11.45101
2025-04-19 20:00:00+02:00,11.27732
2025-04-19 21:00:00+02:00,10.14133
2025-04-19 22:00:00+02:00,8.275469999999999
2025-04-19 23:00:00+02:00,7.66042
2025-04-20 00:00:00+02:00,8.49073
2025-04-20 01:00:00+02:00,8.63742
2025-04-20 02:00:00+02:00,9.273219999999998
2025-04-20 03:00:00+02:00,9.03605
2025-04-20 04:00:00+02:00,9.72331
2025-04-20 05:00:00+02:00,9.86041
2025-04-20 06:00:00+02:00,9.705620000000001
2025-04-20 07:00:00+02:00,8.88226
2025-04-20 08:00:00+02:00,8.9275
2025-04-20 09:00:00+02:00,2.2545300000000004
2025-04-20 10:00:00+02:00,0.0
2025-04-20 11:00:00+02:00,0.0
2025-04-20 12:00:00+02:00,0.0
2025-04-20 13:00:00+02:00,0.0
2025-04-20 14:00:00+02:00,0.0
2025-04-20 15:00:00+02:00,0.0
2025-04-20 16:00:00+02:00,0.0
2025-04-20 17:00:00+02:00,5.9435
2025-04-20 18:00:00+02:00,6.57757
2025-04-20 19:00:00+02:00,6.493
2025-04-20 20:00:00+02:00,8.32251
2025-04-20 21:00:00+02:00,9.43894
2025-04-20 22:00:00+02:00,7.39582
2025-04-20 23:00:00+02:00,8.437149999999999
2025-04-21 00:00:00+02:00,8.05067
2025-04-21 01:00:00+02:00,9.732790000000001
2025-04-21 02:00:00+02:00,9.255090000000001
2025-04-21 03:00:00+02:00,9.30233
2025-04-21 04:00:00+02:00,9.37031
2025-04-21 05:00:00+02:00,8.48217
2025-04-21 06:00:00+02:00,9.49911
2025-04-21 07:00:00+02:00,9.60909
2025-04-21 08:00:00+02:00,9.50657
2025-04-21 09:00:00+02:00,8.705459999999999
2025-04-21 10:00:00+02:00,6.606859999999999
2025-04-21 11:00:00+02:00,4.3339099999999995
2025-04-21 12:00:00+02:00,0.89461
2025-04-21 13:00:00+02:00,0.5507000000000001
2025-04-21 14:00:00+02:00,2.0991500000000003
2025-04-21 15:00:00+02:00,3.9099899999999996
2025-04-21 16:00:00+02:00,5.6262799999999995
2025-04-21 17:00:00+02:00,6.12164
2025-04-21 18:00:00+02:00,8.81383
2025-04-21 19:00:00+02:00,9.44014
2025-04-21 20:00:00+02:00,8.86041
2025-04-21 21:00:00+02:00,8.205
2025-04-21 22:00:00+02:00,8.01101
2025-04-21 23:00:00+02:00,8.51167
2025-04-22 00:00:00+02:00,7.61473
2025-04-22 01:00:00+02:00,7.75492
2025-04-22 02:00:00+02:00,8.22658
2025-04-22 03:00:00+02:00,8.885629999999999
2025-04-22 04:00:00+02:00,9.49507
2025-04-22 05:00:00+02:00,10.24842
2025-04-22 06:00:00+02:00,12.37161
2025-04-22 07:00:00+02:00,10.3889
2025-04-22 08:00:00+02:00,7.58526
2025-04-22 09:00:00+02:00,3.47558
2025-04-22 10:00:00+02:00,4.7489799999999995
2025-04-22 11:00:00+02:00,5.98175
2025-04-22 12:00:00+02:00,7.21592
2025-04-22 13:00:00+02:00,8.2561
2025-04-22 14:00:00+02:00,7.9782
2025-04-22 15:00:00+02:00,6.943
2025-04-22 16:00:00+02:00,5.2672799999999995
2025-04-22 17:00:00+02:00,5.81017
2025-04-22 18:00:00+02:00,8.816840000000001
2025-04-22 19:00:00+02:00,11.364930000000001
2025-04-22 20:00:00+02:00,11.360280000000001
2025-04-22 21:00:00+02:00,11.549040000000002
