capacity_gwh,power_gw,imports_displaced_twh
0,0.0,0.0
10,2.5,1.7049440788626622
25,6.25,3.423182788393524
50,12.5,5.063813967609682
100,25.0,6.47300338738563
200,50.0,7.627459559312716
400,100.0,8.723184064666857
800,200.0,9.640865093166873
1600,400.0,10.075763437499996
3200,800.0,10.075763437499996
