capacity_gwh,mwh_per_added_gwh
10,170494.4078862662
25,114549.24730205745
50,65625.24716864631
100,28183.788395518954
200,11544.561719270865
400,5478.622526770702
800,2294.2025712500413
1600,543.622930416403
3200,0.0
