capacity_gwh,full_cycles_per_year,avg_soc_pct
10,170.49440788626623,28.334283736070223
25,136.92731153574096,27.672390507642234
50,101.27627935219364,25.627036341859384
100,64.7300338738563,22.161781834076724
200,38.13729779656358,18.531220728231705
400,21.80796016166714,14.636159637199807
500,18.16990185818789,13.332893565567899
800,12.051081366458591,10.702809779780893
1600,6.297352148437498,6.16393990597903
