Wind_Speed_ms,Wind_Gen_Fit_MWh
0.0,3689.764662278213
0.11510942760942759,3689.83249664347
0.23021885521885518,3690.3073372002696
0.34532828282828276,3691.596190140154
0.46043771043771037,3694.106061654665
0.575547138047138,3698.243957935346
0.6906565656565655,3704.4168851737386
0.8057659932659932,3713.0318495613856
0.9208754208754207,3724.495857289829
1.0359848484848484,3739.2159145506116
1.151094276094276,3757.5990275352756
1.2662037037037035,3780.052202435363
1.381313131313131,3806.982445442417
1.4964225589225586,3838.7967627479793
1.6115319865319864,3875.9021605435923
1.726641414141414,3918.705645020799
1.8417508417508415,3967.614222371141
1.956860269360269,4023.0348987861607
2.071969696969697,4085.3746804574016
2.187079124579124,4155.040573576404
2.302188552188552,4232.439584334713
2.4172979797979792,4317.978718923869
2.532407407407407,4412.064983535414
2.6475168350168348,4515.1053843608925
2.762626262626262,4627.506927591845
2.87773569023569,4749.676619419814
2.992845117845117,4882.021466036343
3.107954545454545,5024.948473632973
3.2230639730639727,5178.864648401248
3.3381734006734,5344.176996532709
3.453282828282828,5521.292524218899
3.568392255892255,5710.618237651361
3.683501683501683,5912.561143021636
3.7986111111111107,6127.528246521268
3.913720538720538,6355.926554341796
4.028829966329965,6598.163072674765
4.143939393939394,6854.64480771172
4.259048821548821,7125.778765644198
4.374158249158248,7411.971952663744
4.4892676767676765,7713.631374961902
4.604377104377104,8031.164038730211
4.719486531986531,8364.976950160213
4.8345959595959584,8715.477115443457
4.949705387205387,9083.071540771478
5.064814814814814,9468.167232335822
5.179924242424241,9871.171196328029
5.2950336700336695,10292.490438939645
5.410143097643097,10732.531966362209
5.525252525252524,11191.702784787263
5.640361952861952,11670.409900406357
5.75547138047138,12169.060319411023
5.870580808080807,12688.061047992804
5.985690235690234,13227.819092343248
6.100799663299663,13788.741458653902
6.21590909090909,14371.235153116297
6.331018518518517,14975.707181921978
6.4461279461279455,15602.564551262494
6.561237373737373,16252.214267329382
6.6763468013468,16925.063336314182
6.791456228956228,17621.518764408447
6.906565656565656,18341.987557803703
7.021675084175083,19086.876722691508
7.13678451178451,19856.593265263393
7.251893939393939,20651.544191710913
7.367003367003366,21472.136508225594
7.482112794612793,22318.77722099899
7.597222222222221,23191.873336222645
7.712331649831649,24091.83186008809
7.827441077441076,25019.059798786875
7.942550505050503,25973.96415851054
8.05765993265993,26956.95194545063
8.17276936026936,27968.4301657987
8.287878787878787,29008.80582574627
8.402988215488215,30078.48593148488
8.518097643097642,31177.877489206094
8.63320707070707,32307.387505101437
8.748316498316496,33467.422985362464
8.863425925925924,34658.3909361807
8.978535353535353,35880.69836374773
9.09364478114478,37134.752274255035
9.208754208754208,38420.9596738942
9.323863636363635,39739.727568856746
9.438973063973062,41091.46296533422
9.55408249158249,42476.572869518175
9.669191919191917,43895.46428760015
9.784301346801346,45348.5442257717
9.899410774410773,46836.21969022434
10.0145202020202,48358.89768714962
10.129629629629628,49916.98522273907
10.244739057239055,51510.889303184274
10.359848484848483,53141.01693467674
10.474957912457912,54807.77512340804
10.590067340067339,56511.57087556967
10.705176767676766,58252.81119735321
10.820286195286194,60031.903094950176
10.935395622895621,61849.25357455213
11.050505050505048,63705.26964235062
11.165614478114476,65600.35830453718
11.280723905723905,67534.92656730337
11.395833333333332,69509.38143684067
