Month,Wind_Onshore,Solar,Lignite,Fossil_Gas,Biomass,Hydropower
July,8290.054543010752,12172.544435483871,7733.9532930107525,3934.293010752688,3874.354798387097,1888.6014784946237
August,7337.579879032258,13000.374354838708,6073.585685483871,4053.729502688172,3834.004475806452,1966.4133870967742
September,13501.586708333332,8938.743694444445,6841.234375,5264.963541666667,3880.847611111111,1678.9954722222221
